,Amplitude,RMS Voltage,Frequency
0,2.88,1.026036,2293.578
1,2.88,1.026036,2293.578
2,2.85,1.018371,2293.578
3,2.85,1.018371,2293.578
4,2.87,1.024284,2314.815
5,2.87,1.022603,2314.815
6,2.87,1.022603,2314.815
7,2.88,1.017865,2314.815
8,2.9,1.026756,2304.147
9,2.9,1.026756,2304.147
mean,2.8749999999999996,1.0229681000000002,2304.1866
