,Amplitude,RMS Voltage,Frequency
0,9.9e+37,0.09039489,9.9e+37
1,9.9e+37,0.09028383,9.9e+37
2,9.9e+37,0.09042449,9.9e+37
3,9.9e+37,0.09042449,9.9e+37
4,9.9e+37,0.08670096,9.9e+37
5,9.9e+37,0.08670096,9.9e+37
6,9.9e+37,0.08816221,9.9e+37
7,9.9e+37,0.08802553,9.9e+37
8,9.9e+37,0.08802553,9.9e+37
9,9.9e+37,0.09131517,9.9e+37
mean,9.9e+37,0.089045806,9.9e+37
