,Amplitude,RMS Voltage,Frequency
0,5.11,1.805586,2293.578
1,5.11,1.805586,2293.578
2,5.13,1.812259,2314.815
3,5.13,1.812259,2314.815
4,5.08,1.80723,2314.815
5,5.16,1.819391,2314.815
6,5.16,1.819391,2314.815
7,5.16,1.81851,2314.815
8,5.16,1.81851,2314.815
9,5.14,1.811507,2314.815
mean,5.134,1.8130229,2310.5676
