,Amplitude,RMS Voltage,Frequency
0,4.36,1.541084,2293.578
1,4.36,1.541084,2293.578
2,4.32,1.556049,2314.815
3,4.32,1.556049,2314.815
4,4.4,1.561781,2314.815
5,4.36,1.544242,2314.815
6,4.36,1.544242,2314.815
7,4.41,1.558448,2314.815
8,4.39,1.556439,2314.815
9,4.39,1.556439,2314.815
mean,4.367,1.5515857,2310.5676
