,Amplitude,RMS Voltage,Frequency
0,4.64,1.655293,2314.815
1,4.64,1.655293,2314.815
2,4.68,1.661282,2293.578
3,4.62,1.639234,2314.815
4,4.62,1.639234,2314.815
5,4.69,1.656265,2314.815
6,4.63,1.647097,2314.815
7,4.63,1.647097,2314.815
8,4.65,1.646401,2314.815
9,4.66,1.65098,2293.578
mean,4.646000000000001,1.6498176,2310.5676000000003
