,Amplitude,RMS Voltage,Frequency
0,1.82,0.6426128,2293.578
1,1.82,0.6426128,2293.578
2,1.624,0.6380531,2293.578
3,1.624,0.6380531,2293.578
4,1.658,0.6471155,2314.815
5,1.663,0.650937,2314.815
6,1.663,0.650937,2314.815
7,1.475,0.6500219,2314.815
8,1.606,0.6346632,2272.727
9,1.606,0.6346632,2272.727
mean,1.6559000000000001,0.6429669600000001,2297.9026
