,Amplitude,RMS Voltage,Frequency
0,3.56,1.258001,2336.448
1,3.56,1.258001,2336.448
2,3.57,1.261368,2314.815
3,3.57,1.261368,2314.815
4,3.56,1.260075,2293.578
5,3.6,1.265445,2293.578
6,3.6,1.265445,2293.578
7,3.53,1.256522,2314.815
8,3.53,1.256522,2314.815
9,3.51,1.259797,2314.815
mean,3.559,1.2602544000000002,2312.7704999999996
